date,pb95_retail,on_retail
2023-01-02,6.566319071000008,7.676629805000009
2023-01-09,6.572377924000002,7.678638352000003
2023-01-16,6.533962154999985,7.624356074999983
2023-01-23,6.5604852500000135,7.624673694000016
2023-01-30,6.689897781,7.648443831
2023-02-06,6.695466331999999,7.648857967999999
2023-02-13,6.681052000000008,7.45753662500001
2023-02-20,6.750427414999992,7.387811509999993
2023-02-27,6.724780200000006,7.209349200000006
2023-03-06,6.720072630000008,7.11835985000001
2023-03-13,6.724493280000005,7.110232128000004
2023-03-20,6.68735265999999,6.924412414999989
2023-03-27,6.634246304999996,6.767408214999995
2023-04-03,6.752772470000011,6.74931186000001
2023-04-10,6.798087369000002,6.744944727000001
2023-04-17,6.823730672000014,6.717129408000014
2023-04-24,6.756498774999986,6.564679699999987
2023-05-01,6.664982940000002,6.434991640000001
2023-05-08,6.566449643999996,6.2777612699999965
2023-05-15,6.498805104,6.131689872
2023-05-22,6.489087341000001,6.078061110000001
2023-05-29,6.52403240000001,6.10566120000001
2023-06-05,6.517352680000005,6.166809220000004
2023-06-12,6.507285915000003,6.136942825000003
2023-06-19,6.4959883600000055,6.097710840000005
2023-06-26,6.491371611999992,6.217119545999991
2023-07-03,6.423308430000008,6.170979705000006
2023-07-10,6.414760007999998,6.1857218399999985
2023-07-17,6.4500993599999985,6.255643907999998
2023-07-24,6.464306160000014,6.258011760000013
2023-07-31,6.5466866400000026,6.3459918600000025
2023-08-07,6.571133025999996,6.380545141999996
2023-08-14,6.574144785000003,6.384045395000003
2023-08-21,6.593292484999991,6.39682068999999
2023-08-28,6.645473720000004,6.455663115000003
2023-09-04,6.651973231000003,6.450945068000003
2023-09-11,6.457946908000001,6.306326838000001
2023-09-18,6.176267513999986,6.105579821999986
2023-09-25,6.029284661000006,6.026118044000006
2023-10-02,6.029659790000009,6.033487999000009
2023-10-09,6.061685886,6.097362528
2023-10-16,6.055685141999995,6.101491733999995
2023-10-23,6.114938830000009,6.14080103000001
2023-10-30,6.418741515000003,6.405995925000004
2023-11-06,6.554920470000009,6.657884820000009
2023-11-13,6.548082120000006,6.726751920000007
2023-11-20,6.524620910000009,6.69396335000001
2023-11-27,6.488633039999988,6.6609007199999875
2023-12-04,6.456791614000008,6.621164298000008
2023-12-11,6.409103817999989,6.565860677999989
2023-12-18,6.356170149999995,6.522409849999995
2023-12-25,6.356166960000014,6.522422140000014
2024-01-01,6.30121437000001,6.45682884000001
2024-01-08,6.273433844999992,6.436210269999991
2024-01-15,6.24234487499999,6.402448624999989
2024-01-22,6.26356192,6.4227170000000005
2024-01-29,6.348425959999996,6.507261039999996
2024-02-05,6.4307575670000094,6.590519865000009
2024-02-12,6.49278899400001,6.659922056000012
2024-02-19,6.524578325,6.76448275
2024-02-26,6.497300442,6.737148704999999
2024-03-04,6.4596721200000005,6.690307041
2024-03-11,6.463512195,6.6947876100000006
2024-03-18,6.465699723000001,6.682903017
2024-03-25,6.564742576,6.774489357999999
2024-04-01,6.65463,6.774649999999999
2024-04-08,6.7058,6.75624
2024-04-15,6.7068900000000005,6.74499
2024-04-22,6.7029499999999995,6.74021
2024-04-29,6.67655,6.698249999999999
2024-05-06,6.71978,6.7234799999999995
2024-05-13,6.682930000000001,6.688149999999999
2024-05-20,6.63708,6.63229
2024-05-27,6.59133,6.5872399999999995
2024-06-03,6.55966,6.5550299999999995
2024-06-10,6.50014,6.4940500000000005
2024-06-17,6.46156,6.46447
2024-06-24,6.5341499999999995,6.54137
2024-07-01,6.52071,6.53047
2024-07-08,6.51874,6.531689999999999
2024-07-15,6.5048699999999995,6.51137
2024-07-22,6.48718,6.49331
2024-07-29,6.47465,6.47615
2024-08-05,6.45409,6.45572
2024-08-12,6.420649999999999,6.4186499999999995
2024-08-19,6.40245,6.401350000000001
2024-08-26,6.3376,6.33536
2024-09-02,6.28676,6.28662
2024-09-09,6.17553,6.18743
2024-09-16,6.088310000000001,6.10675
2024-09-23,6.0271099999999995,6.04129
2024-09-30,5.94545,5.96987
2024-10-07,5.927579999999999,5.955019999999999
2024-10-14,5.99528,6.06271
2024-10-21,6.06371,6.120760000000001
2024-10-28,6.13421,6.18175
2024-11-04,6.11592,6.16099
2024-11-11,6.11997,6.16998
2024-11-18,6.0897,6.14163
2024-11-25,6.15374,6.21279
2024-12-02,6.1693,6.24864
2024-12-09,6.130319999999999,6.2126
2024-12-16,6.09749,6.17274
2024-12-23,6.10863,6.19151
2024-12-30,6.10064,6.175979999999999
2025-01-06,6.1187700000000005,6.2357700000000005
2025-01-13,6.213979999999999,6.32767
2025-01-20,6.31362,6.4651000000000005
2025-01-27,6.29312,6.43549
2025-02-03,6.258520000000001,6.39679
2025-02-10,6.2265500000000005,6.36358
2025-02-17,6.20326,6.33858
2025-02-24,6.17988,6.31223
2025-03-03,6.147060000000001,6.2778599999999996
2025-03-10,6.09933,6.22376
2025-03-17,6.05649,6.173919999999999
2025-03-24,6.011760000000001,6.12814
2025-03-31,6.05329,6.12771
2025-04-07,6.04758,6.11164
2025-04-14,5.9903699999999995,6.05093
2025-04-21,5.929729999999999,5.9904399999999995
2025-04-28,5.87012,5.931979999999999
2025-05-05,5.86585,5.87356
2025-05-12,5.79484,5.82683
2025-05-19,5.7657799999999995,5.789159999999999
2025-05-26,5.79293,5.751189999999999
2025-06-02,5.72729,5.6685799999999995
2025-06-09,5.750020000000001,5.69479
2025-06-16,5.72438,5.67254
2025-06-23,5.92723,5.96383
2025-06-30,6.002770000000001,6.053850000000001
2025-07-07,5.9625,6.004029999999999
2025-07-14,5.936319999999999,6.04164
2025-07-21,5.91224,6.073189999999999
2025-07-28,5.877770000000001,6.0283500000000005
2025-08-04,5.8820500000000004,6.0196000000000005
2025-08-11,5.83899,5.9646300000000005
2025-08-18,5.835100000000001,5.92241
2025-08-25,5.800680000000001,5.88421
2025-09-01,5.80393,5.85216
2025-09-08,5.80171,5.8525
2025-09-15,5.8084,5.89201
2025-09-22,5.79377,5.8755299999999995
2025-09-29,5.9235500000000005,5.99262
2025-10-06,5.908318318704246,5.986172255652645
2025-10-13,5.867510958117609,5.938805946774533
2025-10-20,5.8766485691501025,5.934316473422781
2025-10-27,5.917196365276024,6.004814258884519
2025-11-03,5.917852572772695,6.04702818736077
2025-11-10,5.917852572772695,6.04702818736077
2025-11-17,6.006271183202583,6.1650049369763105
2025-11-24,5.9757751186538695,6.29718473888853
2025-12-01,5.93249867474988,6.258847674298493
2025-12-08,5.898777601729922,6.2032921635510885
2025-12-15,5.847504200979279,6.135419502033731
2025-12-22,5.754669904328883,6.05164874720339
2025-12-29,5.735650929841831,6.029050519313562
2026-01-05,5.687512281470187,5.98028136580811
2026-01-12,5.725833610608345,5.963621903082038
2026-01-19,5.68044911019905,5.930132450283074
2026-01-26,5.649695629006661,5.89050019949888
2026-02-02,5.679615346353003,5.900061871634727
2026-02-09,5.685981614514092,5.912147545134715
2026-02-16,5.738631629281664,5.940447456147474
2026-02-23,5.805874859051442,6.004350185164726
2026-03-02,5.834742425934897,6.05385964125775
2026-03-09,6.417905345140181,7.405652184879935
2026-03-16,6.73628573058131,7.606721514671677
2026-03-23,7.114429940757189,8.40156094970959
2026-03-30,7.206721607674914,8.65119792671226
2026-04-06,6.1268602298001,7.7071479136559855
2026-04-13,6.100326788813932,7.5274833200232605
2026-04-20,5.987387675862216,6.923993837130348
2026-04-27,6.122487458532993,6.87641183691709
2026-05-04,6.410385298682197,7.1670353244875535
2026-05-11,6.303993925107422,6.882525779683623
2026-05-18,6.323485252589862,6.69082219469692
2026-05-25,6.404443974225374,6.715074250378871
2026-06-01,6.004298787308077,6.209407707020759
2026-06-08,5.934675944976566,6.33117001254794
2026-06-15,5.976622428306202,6.254634238412524
2026-06-22,5.893690177208294,5.991509705071824
2026-06-29,5.958047717927265,6.0345275055627505
2026-07-06,6.770207430856991,6.868323185433292
2026-07-13,6.897868336470961,6.97116211517184
2026-07-20,7.286003920209873,7.471853924958421
2026-07-27,7.4302964664431075,7.856273379221967
2026-08-03,7.556026922661953,8.085156857227402
2026-08-10,7.292461662321894,8.012993729360867
2026-08-17,6.376913980441738,7.258444226270983
2026-08-24,6.494898609368215,7.44464804027951
2026-08-31,6.598727648336496,7.22499927036766
2026-09-07,7.808604681966812,8.543189666475522
2026-09-14,7.909984879459962,8.705945764659763
2026-09-21,7.92156800495064,8.876299384231777
