,ulsd
2023-01-03,3.0864999294281006
2023-01-04,2.97189998626709
2023-01-05,2.9723000526428223
2023-01-06,3.004499912261963
2023-01-09,3.0360000133514404
2023-01-10,3.135699987411499
2023-01-11,3.217900037765503
2023-01-12,3.2190001010894775
2023-01-13,3.2558999061584473
2023-01-17,3.250999927520752
2023-01-18,3.263000011444092
2023-01-19,3.3759000301361084
2023-01-20,3.4667999744415283
2023-01-23,3.5508999824523926
2023-01-24,3.4272000789642334
2023-01-25,3.361299991607666
2023-01-26,3.3965001106262207
2023-01-27,3.265500068664551
2023-01-30,3.11080002784729
2023-01-31,3.182300090789795
2023-02-01,2.9511001110076904
2023-02-02,2.896699905395508
2023-02-03,2.7753000259399414
2023-02-06,2.768699884414673
2023-02-07,2.904400110244751
2023-02-08,2.8933000564575195
2023-02-09,2.8153998851776123
2023-02-10,2.8645999431610107
2023-02-13,2.9056999683380127
2023-02-14,2.9400999546051025
2023-02-15,2.844399929046631
2023-02-16,2.810800075531006
2023-02-17,2.712100028991699
2023-02-21,2.7918999195098877
2023-02-22,2.7147998809814453
2023-02-23,2.7081000804901123
2023-02-24,2.7962000370025635
2023-02-27,2.8197999000549316
2023-02-28,2.8208999633789062
2023-03-01,2.873800039291382
2023-03-02,2.8661999702453613
2023-03-03,2.913100004196167
2023-03-06,2.8866000175476074
2023-03-07,2.797499895095825
2023-03-08,2.7418999671936035
2023-03-09,2.6689000129699707
2023-03-10,2.772900104522705
2023-03-13,2.7614998817443848
2023-03-14,2.714400053024292
2023-03-15,2.6048998832702637
2023-03-16,2.6435000896453857
2023-03-17,2.6786999702453613
2023-03-20,2.6870999336242676
2023-03-21,2.690200090408325
2023-03-22,2.740299940109253
2023-03-23,2.6847000122070312
2023-03-24,2.695199966430664
2023-03-27,2.770400047302246
2023-03-28,2.7695999145507812
2023-03-29,2.658099889755249
2023-03-30,2.623699903488159
2023-03-31,2.676300048828125
2023-04-03,2.662600040435791
2023-04-04,2.6666998863220215
2023-04-05,2.7309999465942383
2023-04-06,2.6605000495910645
2023-04-10,2.6814000606536865
2023-04-11,2.6682000160217285
2023-04-12,2.7030999660491943
2023-04-13,2.672800064086914
2023-04-14,2.63919997215271
2023-04-17,2.6147000789642334
2023-04-18,2.599900007247925
2023-04-19,2.5576999187469482
2023-04-20,2.4948999881744385
2023-04-21,2.488600015640259
2023-04-24,2.5309998989105225
2023-04-25,2.4511001110076904
2023-04-26,2.372999906539917
2023-04-27,2.3541998863220215
2023-04-28,2.378700017929077
2023-05-01,2.3822999000549316
2023-05-02,2.2892000675201416
2023-05-03,2.232300043106079
2023-05-04,2.2386999130249023
2023-05-05,2.31469988822937
2023-05-08,2.377700090408325
2023-05-09,2.390199899673462
2023-05-10,2.393399953842163
2023-05-11,2.3494999408721924
2023-05-12,2.305500030517578
2023-05-15,2.378000020980835
2023-05-16,2.3638999462127686
2023-05-17,2.422600030899048
2023-05-18,2.402600049972534
2023-05-19,2.3622000217437744
2023-05-22,2.3664000034332275
2023-05-23,2.3617000579833984
2023-05-24,2.4137001037597656
2023-05-25,2.3461999893188477
2023-05-26,2.36929988861084
2023-05-30,2.2808001041412354
2023-05-31,2.2595999240875244
2023-06-01,2.31469988822937
2023-06-02,2.3568999767303467
2023-06-05,2.377500057220459
2023-06-06,2.367799997329712
2023-06-07,2.4017999172210693
2023-06-08,2.3898000717163086
2023-06-09,2.3610000610351562
2023-06-12,2.3090999126434326
2023-06-13,2.3954999446868896
2023-06-14,2.3577001094818115
2023-06-15,2.479599952697754
2023-06-16,2.5513999462127686
2023-06-20,2.475399971008301
2023-06-21,2.564199924468994
2023-06-22,2.4655001163482666
2023-06-23,2.407099962234497
2023-06-26,2.438800096511841
2023-06-27,2.3989999294281006
2023-06-28,2.4066998958587646
2023-06-29,2.415600061416626
2023-06-30,2.448199987411499
2023-07-03,2.3773000240325928
2023-07-05,2.493299961090088
2023-07-06,2.4793999195098877
2023-07-07,2.5590999126434326
2023-07-10,2.5532000064849854
2023-07-11,2.583699941635132
2023-07-12,2.599600076675415
2023-07-13,2.6103999614715576
2023-07-14,2.597899913787842
2023-07-17,2.564199924468994
2023-07-18,2.599400043487549
2023-07-19,2.6417999267578125
2023-07-20,2.664400100708008
2023-07-21,2.745699882507324
2023-07-24,2.7704999446868896
2023-07-25,2.777600049972534
2023-07-26,2.842900037765503
2023-07-27,2.9168999195098877
2023-07-28,2.9586000442504883
2023-07-31,2.9909000396728516
2023-08-01,3.023400068283081
2023-08-02,3.004300117492676
2023-08-03,3.074899911880493
